date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2003,0.28,0.24,0.2,0.25,0.23,0.16,0.19,0.24,0.2,0.2,0.25,0.16,0.22,0.23,0.26,0.24,0.23,0.26,0.25,0.2,0.22,0.17,0.25,0.23,0.28,0.24,0.19,0.24,0.21,0.2,0.2,0.2,0.21,0.24,0.24,0.25,0.24,0.22,0.24,0.18,0.25,0.23,0.25,0.25,0.21,0.2,0.22,0.22,0.28,0.22,0.2
2004,0.28,0.24,0.2,0.25,0.22,0.16,0.19,0.23,0.21,0.21,0.25,,0.21,0.23,0.25,0.23,0.23,0.25,0.26,0.21,0.22,0.18,0.25,0.23,0.28,0.24,0.19,0.23,0.21,0.2,0.2,0.21,0.21,0.24,0.24,0.24,0.24,0.21,0.24,0.19,0.25,0.23,0.26,0.25,0.2,0.19,0.23,0.22,0.28,0.23,0.22
2005,0.29,0.25,0.21,0.26,0.23,0.17,0.2,0.23,0.22,0.22,0.26,0.18,0.22,0.24,0.26,0.24,0.23,0.27,0.27,0.22,0.23,0.19,0.26,0.23,0.3,0.25,0.2,0.24,0.21,0.22,0.21,0.21,0.22,0.25,0.25,0.25,0.25,0.22,0.25,0.2,0.26,0.24,0.27,0.26,0.21,0.2,0.23,0.22,0.29,0.25,0.23
2006,0.29,0.26,0.22,0.27,0.23,0.18,0.2,0.24,0.22,0.23,0.26,0.2,0.23,0.24,0.27,0.25,0.24,0.28,0.28,0.23,0.24,0.2,0.27,0.24,0.31,0.26,0.21,0.25,0.23,0.22,0.22,0.22,0.22,0.26,0.25,0.26,0.27,0.23,0.25,0.21,0.28,0.25,0.28,0.26,0.21,0.2,0.25,0.23,0.3,0.26,0.24
2007,0.3,0.27,0.23,0.28,0.23,0.18,0.21,0.26,0.22,0.23,0.28,0.21,0.25,0.25,0.28,0.26,0.26,0.28,0.3,0.24,0.25,0.21,0.28,0.25,0.32,0.27,0.22,0.27,0.24,0.24,0.23,0.23,0.24,0.27,0.26,0.27,0.28,0.25,0.26,0.21,0.29,0.26,0.29,0.27,0.22,0.21,0.25,0.25,0.31,0.26,0.24
2008,0.31,0.27,0.25,0.29,0.24,0.19,0.21,0.27,0.22,0.24,0.28,0.22,0.25,0.26,0.27,0.27,0.27,0.29,0.29,0.25,0.26,0.21,0.29,0.25,0.33,0.28,0.23,0.27,0.25,0.24,0.23,0.25,0.25,0.28,0.27,0.29,0.3,0.25,0.27,0.22,0.3,0.27,0.3,0.28,0.23,0.22,0.25,0.25,0.31,0.27,0.25
2009,0.32,0.27,0.26,0.3,0.24,0.19,0.21,0.28,0.22,0.25,0.28,0.23,0.25,0.27,0.28,0.28,0.28,0.31,0.31,0.26,0.27,0.22,0.29,0.26,0.34,0.29,0.24,0.27,0.26,0.25,0.24,0.26,0.25,0.29,0.28,0.29,0.31,0.25,0.28,0.23,0.3,0.29,0.32,0.29,0.23,0.23,0.26,0.26,0.31,0.27,0.25
2010,0.32,0.26,0.25,0.31,0.25,0.2,0.22,0.28,0.22,0.26,0.29,0.23,0.26,0.28,0.29,0.28,0.29,0.32,0.32,0.27,0.27,0.22,0.31,0.25,0.34,0.3,0.24,0.28,0.25,0.26,0.24,0.26,0.25,0.29,0.28,0.3,0.31,0.25,0.29,0.24,0.31,0.29,0.32,0.3,0.23,0.24,0.26,0.26,0.32,0.28,0.25
2011,0.32,0.27,0.25,0.31,0.24,0.21,0.25,0.29,0.24,0.27,0.28,0.22,0.27,0.27,0.31,0.29,0.3,0.3,0.33,0.28,0.28,0.23,0.31,0.26,0.35,0.3,0.25,0.28,0.25,0.26,0.24,0.26,0.25,0.29,0.28,0.3,0.31,0.27,0.29,0.25,0.31,0.28,0.29,0.3,0.24,0.25,0.29,0.27,0.32,0.3,0.25
2012,0.33,0.26,0.26,0.35,0.25,0.21,0.26,0.27,0.22,0.25,0.29,0.24,0.27,0.28,0.31,0.3,0.3,0.31,0.35,0.28,0.28,0.23,0.31,0.26,0.35,0.3,0.24,0.29,0.26,0.27,0.25,0.27,0.24,0.3,0.3,0.3,0.32,0.27,0.29,0.26,0.32,0.28,0.31,0.29,0.24,0.24,0.27,0.27,0.34,0.3,0.28
2013,0.32,0.28,0.27,0.35,0.24,0.21,0.25,0.31,0.23,0.26,0.3,0.22,0.3,0.29,0.32,0.31,0.3,0.33,0.33,0.29,0.28,0.24,0.32,0.26,0.35,0.3,0.25,0.3,0.26,0.27,0.26,0.26,0.25,0.29,0.31,0.3,0.33,0.27,0.3,0.27,0.32,0.3,0.34,0.31,0.24,0.25,0.27,0.27,0.35,0.31,0.3
2014,0.34,0.3,0.29,0.36,0.25,0.21,0.26,0.31,0.22,0.26,0.31,0.22,0.29,0.29,0.33,0.31,0.31,0.32,0.35,0.28,0.3,0.23,0.31,0.28,0.36,0.3,0.26,0.3,0.28,0.27,0.27,0.28,0.27,0.3,0.32,0.33,0.33,0.28,0.3,0.27,0.32,0.3,0.31,0.32,0.26,0.25,0.29,0.27,0.36,0.31,0.29
2015,0.36,0.3,0.28,0.35,0.24,0.2,0.25,0.3,0.22,0.27,0.31,0.23,0.29,0.31,0.31,0.32,0.34,0.35,0.36,0.3,0.29,0.24,0.31,0.26,0.36,0.32,0.24,0.31,0.27,0.26,0.26,0.29,0.25,0.3,0.31,0.3,0.34,0.3,0.3,0.26,0.32,0.3,0.34,0.32,0.25,0.25,0.29,0.26,0.36,0.31,0.28
2016,0.36,0.31,0.29,0.36,0.25,0.22,0.26,0.31,0.23,0.27,0.31,0.24,0.27,0.32,0.33,0.32,0.31,0.34,0.36,0.3,0.3,0.24,0.33,0.28,0.37,0.32,0.26,0.32,0.26,0.27,0.27,0.28,0.26,0.32,0.32,0.32,0.33,0.29,0.3,0.27,0.32,0.3,0.35,0.34,0.25,0.27,0.29,0.29,0.38,0.32,0.29
2017,0.36,0.34,0.3,0.35,0.25,0.23,0.27,0.32,0.23,0.28,0.32,0.24,0.29,0.31,0.34,0.36,0.32,0.34,0.36,0.29,0.31,0.26,0.32,0.28,0.37,0.33,0.25,0.33,0.27,0.28,0.27,0.28,0.26,0.32,0.33,0.34,0.37,0.29,0.32,0.3,0.34,0.32,0.33,0.33,0.25,0.28,0.3,0.28,0.38,0.32,0.29
