date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2003,37255,51837,41166,32002,49300,49940,54965,49019,45044,38972,42438,51834,42372,45153,42425,41384,44232,36936,33507,37113,52314,50955,45022,52823,32728,43762,34108,43974,45184,55567,56045,35105,42788,37279,40410,43520,35902,41638,42933,44711,38479,39522,37523,39271,49275,43261,54783,47508,32763,46269,42555
2004,36629,55063,43846,34984,49222,50886,55100,48049,43451,40535,40984,56242,44358,46077,42329,43391,41066,35610,36429,41329,57103,52019,42256,56104,34755,42137,33956,43786,47204,56815,55275,39562,44649,40238,39220,43055,39614,40994,44106,47935,38691,41107,38072,41397,50871,47329,51141,49922,33373,45732,45397
2005,37150,55891,45245,36658,51755,50449,56835,51235,44993,42990,45926,59586,44176,48398,42437,46500,42027,36699,37236,43923,60512,56017,45933,54215,32875,42986,37313,47923,48209,56984,63368,38947,47176,42056,42192,44203,37645,44159,46300,49484,40230,43151,39406,41422,54813,50704,51914,50646,36445,44650,44718
2006,37952,56418,46657,37057,55319,55697,62404,52438,48477,45676,49344,60470,46213,48671,45407,48126,45552,39485,36488,45642,63668,55330,48647,56211,34733,44579,41105,48145,52282,61970,68059,40028,48222,39797,41047,45900,38838,47091,48477,53736,39617,45427,40693,43307,54628,51981,57119,54723,38419,51692,47041
2007,42212,62993,47215,40795,55734,61141,64141,54589,50783,45794,48641,64022,49184,52506,47453,48908,48497,39452,41313,47894,65630,58463,49370,58058,37279,46005,43655,49174,54058,67576,60508,44356,48944,43513,47205,49099,43216,50236,48437,54210,44213,46418,41195,46053,53529,47390,59161,58080,42091,51277,48744
2008,44476,63989,46914,39586,57014,60943,64682,50702,55590,44857,46227,61521,47420,53254,46520,50142,47877,41148,39563,47228,63711,60320,49788,54925,36446,46038,42900,50728,54744,66176,65306,42102,50461,42930,49631,46934,46111,51727,51402,53241,42155,51600,39702,46490,62537,50706,61985,56631,37994,51200,53337
2009,39980,61604,45739,36538,56134,55930,64851,52114,53141,45631,43340,55649,46778,52870,44305,50721,44717,42664,45433,47502,64186,59373,45994,56090,35078,48769,40437,49595,51434,64131,64777,43542,50216,41906,50075,45879,45878,49098,48172,51634,41101,45826,40517,47475,58491,52318,60501,60392,40490,51237,52470
2010,40933,57848,46896,38587,54283,60233,65998,55214,56928,44066,44117,59539,47050,50728,46139,49016,46054,41104,39300,47931,64201,60934,46276,52321,38160,45817,41280,52504,51200,66633,62968,45134,49781,43830,51006,45886,43103,50602,48314,51623,41698,45352,38591,47266,56701,55928,60367,56163,42777,50351,52201
2011,42590,57431,48621,41302,53367,58629,65415,54660,55251,45105,45973,59047,47459,50637,44445,50219,46147,39856,40658,49693,68876,63313,48879,57820,41090,45774,40277,55616,47043,65880,62338,41982,50636,45206,56361,44648,48455,51526,49910,49033,40084,47223,42279,49047,55493,51862,62616,56850,41821,52058,54509
2012,43464,63648,47044,39018,57020,57255,64247,48972,65246,46071,48121,56263,47922,51738,46158,53442,50003,41086,39085,49158,71836,63656,50015,61795,36641,49764,45088,52196,47333,67819,66692,43424,47680,41553,55766,44375,48407,51775,51904,56065,44401,49415,42995,51926,58341,55582,64632,62187,43553,53079,57512
2013,47320,72472,52611,39376,60794,67912,69291,54091,60057,48532,46992,64235,48467,53937,49455,60156,47820,44879,46425,54957,69353,62529,56567,64324,32338,46303,43201,57623,51846,69099,63754,40166,49966,46337,59152,50748,46162,48999,55156,56323,43563,53413,43361,51406,61047,65513,65907,63922,43069,51726,67441
2014,42278,67629,49254,44922,60487,60940,70161,57522,68277,46140,49555,71223,53438,54916,48060,57810,53444,42786,42406,51710,76165,63151,52005,67244,35521,56630,51102,56870,49875,73397,65243,46686,54310,46784,60730,49644,47199,58875,55173,58633,44929,53053,43716,53875,63383,60708,66155,59068,39552,58080,55690
2015,44509,75112,52248,42798,63636,66596,72889,57756,70071,48825,50768,64514,51624,60413,51983,60855,54865,42387,45922,50756,73594,67861,54203,68730,40037,59196,51395,60474,52008,75675,68357,45119,58005,50797,57415,53301,47077,60834,60389,55701,46360,55065,47330,56473,66258,59494,61486,67243,42824,55425,60925
2016,47221,75723,57100,45907,66637,70566,75923,58046,70982,51176,53527,72133,56564,61386,56094,59094,56810,45369,42196,50856,73760,72266,57091,70218,41099,55016,57075,59374,55431,76260,68468,48451,61437,53764,60184,53985,50943,59135,60979,61528,54336,57450,51344,58146,67481,60837,66451,70310,44354,59817,57829
2017,51113,72231,61125,48829,69759,74172,72780,62318,83382,53681,57016,73575,60208,64609,58873,63481,57872,51348,43903,51664,81084,73227,57700,71920,43441,56885,59087,59619,56550,74801,72997,47855,62447,50343,59886,59768,55006,64610,63173,66390,54971,56894,55240,59295,71319,63805,71293,75418,45392,63451,57837
