date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2003,4503491,648414,5510364,2724816,35253159,4528732,3484336,818003,568502,17004085,8622793,1251154,1363380,12556006,6196638,2941999,2723004,4117170,4521042,1306513,5496269,6422565,10041152,5053572,2868312,5709403,919630,1738643,2248850,1279840,8601402,1877574,19175939,8422501,638817,11434788,3504892,3547376,12374658,1071342,4150297,763729,5847812,22030931,2360137,617858,7366977,6104115,1812295,5479203,503453
2004,4530729,659286,5652404,2749686,35574576,4575013,3496094,830803,567754,17415318,8769252,1273569,1391802,12589773,6233007,2953635,2734373,4146101,4552238,1313688,5546935,6412281,10055315,5087713,2889010,5747741,930009,1749370,2346222,1290121,8634561,1903808,19171567,8553152,644705,11452251,3525233,3569463,12410722,1074579,4210921,770396,5910809,22394023,2401580,619920,7475575,6178645,1816438,5514026,509106
2005,4569805,666946,5839077,2781097,35827943,4631888,3506956,845150,567136,17842038,8925922,1292729,1428241,12609903,6278616,2964454,2745299,4182742,4576628,1318787,5592379,6403290,10051137,5119598,2905943,5790300,940102,1761497,2432143,1298492,8651974,1932274,19132610,8705407,646089,11463320,3548597,3613202,12449990,1067916,4270150,775493,5991057,22778123,2457719,621215,7577105,6257305,1820492,5546166,514157
2006,4628981,675302,6029141,2821761,36021202,4720423,3517460,859268,570681,18166990,9155813,1309731,1468669,12643955,6332669,2982644,2762931,4219239,4302665,1323619,5627367,6410084,10036081,5163555,2904978,5842704,952692,1772693,2522658,1308389,8661679,1962137,19104631,8917270,649422,11481213,3594090,3670883,12510809,1063096,4357847,783033,6088766,23359580,2525507,622892,7673725,6370753,1827912,5577655,522667
2007,4672840,680300,6167681,2848650,36250311,4803868,3527270,871749,574404,18367842,9349988,1315675,1505105,12695866,6379599,2999212,2783785,4256672,4375581,1327040,5653408,6431559,10001284,5207203,2928350,5887612,964706,1783440,2601072,1312540,8677885,1990070,19132335,9118037,652822,11500468,3634349,3722417,12563937,1057315,4444110,791623,6175727,23831983,2597746,623481,7751000,6461587,1834052,5610775,534876
2008,4718206,687455,6280362,2874554,36604337,4889730,3545579,883874,580236,18527305,9504843,1332213,1534320,12747038,6424806,3016734,2808076,4289878,4435586,1330509,5684965,6468967,9946889,5247018,2947806,5923916,976415,1796378,2653630,1315906,8711090,2010662,19212436,9309449,657569,11515391,3668976,3768748,12612285,1055003,4528996,799124,6247411,24309039,2663029,624151,7833496,6562231,1840310,5640996,546043
2009,4757938,698895,6343154,2896843,36961229,4972195,3561807,891730,592228,18652644,9620846,1346717,1554439,12796778,6459325,3032870,2832704,4317074,4491648,1329590,5730388,6517613,9901591,5281203,2958774,5961088,983982,1812683,2684665,1316102,8755602,2036802,19307066,9449566,664968,11528896,3717572,3808600,12666858,1053646,4589872,807067,6306019,24801761,2723421,624817,7925937,6667426,1847775,5669264,559851
2010,4785579,714015,6407002,2921737,37327690,5048029,3580171,899712,605040,18846461,9712696,1363817,1570912,12841196,6490029,3050223,2858403,4347948,4544871,1327568,5788099,6564943,9876731,5310711,2970437,5995681,990507,1829956,2702797,1316700,8803708,2064607,19405185,9574247,674518,11539282,3759529,3837073,12711063,1053169,4635834,816227,6355882,25241648,2775260,625842,8025206,6741386,1854315,5690403,564376
2011,4798649,722259,6465488,2938640,37672654,5116411,3591927,907884,620336,19097369,9810595,1378323,1583180,12862298,6515358,3063690,2868756,4368505,4574388,1327968,5843115,6612178,9876199,5345967,2977452,6010280,996866,1841641,2718170,1318345,8844694,2077744,19526372,9662940,684830,11543332,3785232,3865845,12742811,1052154,4672744,823338,6396281,25644424,2815430,626210,8107548,6819155,1854891,5705812,567602
2012,4813946,730825,6544211,2949208,38019006,5186330,3597705,916868,635630,19341327,9911171,1392772,1594673,12878494,6535665,3074386,2885316,4383673,4602681,1328101,5891680,6659627,9886610,5377695,2982963,6023267,1003522,1854862,2752410,1320923,8882095,2083590,19625409,9755299,701380,11546969,3815298,3893920,12768034,1052761,4719009,832576,6450632,26078327,2854222,625606,8188656,6890899,1855360,5721075,576608
