State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,4,7,4,5,9,9,12,7,9,10,11,13,10,9,11
Alaska,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Arizona,2,3,1,6,14,18,13,4,5,4,7,10,10,11,11
Arkansas,0,1,2,3,5,6,5,1,2,2,2,5,4,4,5
California,15,27,31,37,75,92,89,52,64,64,63,87,80,67,70
Colorado,1,2,3,3,7,12,11,16,20,19,19,22,21,20,22
Connecticut,0,1,2,3,10,11,14,11,8,9,12,15,16,16,15
Delaware,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4
District of Columbia,1,3,2,2,3,2,1,1,3,2,2,1,0,0,0
Florida,12,21,13,18,32,57,43,25,40,42,44,94,93,89,85
Georgia,2,3,5,7,12,21,17,8,15,16,18,17,14,11,16
Hawaii,0,1,1,1,6,6,7,13,13,13,10,9,9,1,3
Idaho,0,0,0,0,1,5,1,1,1,1,1,2,2,1,1
Illinois,6,11,8,7,9,16,17,10,18,23,19,20,17,16,18
Indiana,2,7,6,11,17,12,12,5,2,5,6,19,15,13,15
Iowa,0,1,1,0,0,0,1,1,1,2,2,2,2,2,2
Kansas,2,2,2,5,7,11,8,4,8,6,6,8,7,5,3
Kentucky,0,3,5,3,9,11,8,4,5,6,6,8,7,5,7
Louisiana,4,10,12,11,14,15,15,10,7,7,10,11,10,15,18
Maine,0,0,0,0,1,4,2,0,0,0,0,5,5,5,5
Maryland,4,6,7,12,17,21,20,24,30,26,28,30,26,23,26
Massachusetts,4,9,15,19,27,31,33,23,36,34,29,35,36,23,18
Michigan,1,2,3,5,8,9,12,11,12,10,9,24,22,20,19
Minnesota,1,4,8,12,15,16,15,13,18,20,17,22,18,18,16
Mississippi,0,0,0,1,1,2,0,0,0,0,1,3,3,3,2
Missouri,3,6,5,6,14,20,19,13,17,15,22,15,12,8,9
Montana,1,2,1,1,1,5,5,2,1,1,2,5,4,4,6
Nebraska,0,1,1,1,0,1,0,1,2,2,1,2,1,2,4
Nevada,1,1,1,2,10,10,7,2,1,1,0,4,5,5,4
New Hampshire,1,2,2,2,4,4,2,0,0,0,0,0,2,3,3
New Jersey,0,4,4,4,3,4,1,3,5,5,5,12,12,11,12
New Mexico,0,0,0,1,4,5,4,2,0,0,1,2,2,2,2
New York,4,13,19,24,37,47,50,40,41,41,46,50,38,34,36
North Carolina,3,10,15,18,33,38,44,36,40,32,38,48,38,36,35
North Dakota,0,0,1,1,2,1,0,1,1,1,2,2,5,4,4
Ohio,2,4,7,9,23,28,34,14,17,22,22,30,21,20,18
Oklahoma,1,1,0,1,1,1,1,1,3,3,3,5,5,5,5
Oregon,1,2,4,6,10,15,14,5,6,13,11,9,7,4,0
Pennsylvania,2,12,16,24,31,32,36,39,38,32,36,57,57,51,46
Rhode Island,0,3,7,8,8,5,8,6,11,12,10,9,11,9,4
South Carolina,0,0,1,3,9,20,17,4,6,8,12,13,10,10,13
South Dakota,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1
Tennessee,3,5,5,6,15,26,21,21,25,21,23,30,28,23,20
Texas,8,16,11,12,36,57,48,27,40,48,44,62,59,51,54
Utah,1,1,0,2,3,5,5,3,7,7,8,6,5,5,7
Vermont,0,0,0,1,1,2,2,2,2,2,1,1,0,0,0
Virginia,2,2,1,1,6,14,12,7,14,13,16,31,29,26,30
Washington,1,4,6,15,20,26,21,7,11,14,13,15,12,13,11
West Virginia,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Wisconsin,1,3,2,10,11,10,12,11,6,6,9,17,16,12,10
